RowNum,Total Population,% Urban,Gender Ratio,% Han Population,% Age 15-64,% Bachelors+,Inlinks per capita (Chinese Wikipedia),Outlinks per capita (Chinese Wikipedia),Non-Spatial Inlinks per capita (Chinese Wikipedia),Non-spatial Outlinks per capita (Chinese Wikipedia),Page Views per capita (Chinese Wikipedia),Page Length per capita (Chinese Wikipedia),Page Count per capita (Chinese Wikipedia),Page Views per Page (Chinese Wikipedia)
212,-0.076800079,-0.343400034,-0.470293172,1.150429696,0.199389216,0.00463748,0.107814296,0.241765184,0.05403871,0.244006248,-0.044231468,0.147530649,0.471558886,-0.193165007
213,0.119659596,0.026602043,-1.207763771,1.143233447,0.819722923,0.762249696,0.218555073,0.189432923,0.258278489,0.351270279,0.134030022,0.194068971,0.495756198,-0.024850407
214,-0.462837107,0.496853027,-0.467944539,0.282046494,0.889906663,0.54352447,0.128878911,0.261176405,0.145450113,0.369788289,0.238566657,0.503405988,0.447020037,0.70389669
215,-0.786374441,1.085518852,-0.822588044,-0.055509954,1.170641625,0.991119148,0.225572044,0.407100331,0.180060911,0.465844608,0.235836469,0.428409315,0.755395914,0.648291396
216,1.1869106,1.736002264,-0.806147617,0.470369382,1.308745115,2.279139721,0.672496622,0.869644379,0.657512061,1.031278102,1.090658669,1.42461708,0.944381331,0.281665615
217,-0.037287131,-0.307196012,-0.608862488,1.014281083,0.878586705,-0.453831506,0.013032749,0.0446553,0.033055733,0.129950198,-0.010874045,0.04267302,0.309647127,-0.474287357
218,-2.797139985,1.581766457,3.409647685,1.100947145,1.369872889,1.369889985,-3.46084393,-3.638861244,-3.135946393,-3.110678305,-2.613832842,-3.040165904,-3.70893815,-1.61441111
219,-0.06540523,1.877387448,0.302406914,0.167356456,0.862738764,1.362461972,-1.020999403,-0.959798128,-0.934155191,-0.766552409,-0.646127161,-0.713857323,-0.897282586,-0.336741922
220,-0.582857819,0.058366647,1.824320761,0.204901399,1.1774336,-0.162889781,-1.880107102,-2.223589656,-1.683860964,-1.992529232,-1.832054838,-1.846602382,-1.905170269,-1.330025935
221,0.487378723,-0.365630365,0.133305376,1.026419907,0.708787333,0.003283772,-1.188888275,-1.132671316,-1.230263389,-1.290059973,-1.377132525,-1.483377194,-1.389298766,-1.549926912
222,0.022458401,0.881206339,-0.312934796,0.661188677,0.994050278,2.181592573,-0.264383941,-0.325751642,-0.137288133,-0.1105416,0.032360574,-0.033207693,-0.391747101,0.075978199
223,-0.384678546,1.469584621,0.361122726,1.074516738,0.70425935,1.831905786,-0.215491859,-0.218619813,-0.074399034,0.019292336,0.247613937,-0.088939861,-0.027469954,0.754476944
